#Table1
ra,dec,u,g,r,i,z,redshift,class
44.237541,0.986658,24.58152,20.59771,19.39954,18.89094,18.63201,8.636532E-05,STAR
44.261574,0.94226402,21.4663,20.46213,19.59911,19.13619,18.82318,0.223789,GALAXY
44.231059,0.98323197,21.0745,20.21694,19.613,19.31551,19.53444,0.1882468,GALAXY
44.241538,0.89008392,21.88259,21.82032,21.26077,20.92069,20.34123,0.9593299,QSO
44.283683,0.97153927,20.5682,20.69011,20.18111,20.22575,20.38347,1.24822,QSO
44.287063,0.9567937,21.83127,21.79577,21.3972,20.98425,20.99079,1.529165,QSO
44.191729,1.0525984,25.2793,22.29494,20.92236,20.07653,19.59371,0.5303083,GALAXY
44.27261,1.059736,21.79489,20.33785,19.20146,18.66043,18.36837,0.1886894,GALAXY
44.310008,0.99523291,22.32689,21.58528,19.9611,19.05829,18.75232,0.5295964,GALAXY
44.323255,1.0433101,24.65883,23.75643,22.49752,20.08005,18.71401,-6.352175E-05,STAR
44.23262,0.8993243,24.8281,23.52915,21.74602,20.38832,19.9386,0.6563572,GALAXY
44.234192,0.91809557,24.94815,23.08984,21.00536,19.67224,18.95996,0.6902853,GALAXY
44.245628,1.059385,23.46166,23.63398,21.68654,20.28279,20.29825,0.6350499,GALAXY
44.293146,1.0177597,24.626,23.85496,21.76109,20.71085,19.85972,0.689844,GALAXY
44.315966,0.94572769,23.38008,23.44411,21.86055,20.81932,20.00599,0.53228,GALAXY
44.202319,1.0405249,24.7324,25.42497,22.05832,20.72031,19.7793,0.4769722,QSO
44.390504,0.90329664,17.71465,16.20278,15.58864,15.36798,15.23839,-9.822403E-05,STAR
44.393082,0.957828,18.58106,17.48278,17.08224,16.94469,16.86253,0.0002223217,STAR
44.414653,0.990371,20.4603,18.81464,18.15489,17.7868,17.60035,0.07472415,GALAXY
44.443335,1.0183655,17.78227,17.62147,17.92135,18.2149,18.49106,0.0001456738,STAR
44.452024,0.91497506,17.74149,16.5935,16.17159,16.02715,15.93656,0.0001068582,STAR
44.340631,1.0392685,21.41023,19.99097,19.93641,20.03777,20.05154,-0.0005656344,STAR
44.467415,0.88647229,20.32575,20.06967,19.7978,19.57714,19.1912,0.4100541,QSO
44.376892,0.99468601,21.07151,20.09495,19.17415,18.81943,18.3151,0.2978915,GALAXY
44.410255,0.94004,22.7391,20.51887,19.56112,19.26419,18.97214,0.0001905988,STAR
44.470638,0.938908,23.54873,20.77683,19.20129,18.22792,17.64319,0.0002511565,STAR
44.386597,0.94687402,21.99181,20.46001,19.32168,18.8163,18.42431,0.1985384,GALAXY
44.35973,0.95156665,21.8728,21.78912,21.40793,21.11704,20.94154,0.5969998,QSO
44.376382,1.038388,21.30309,20.67854,20.62993,20.53562,20.3172,2.115978,QSO
44.445242,0.99442437,21.97678,21.69002,21.65815,21.30574,21.69213,1.626207,QSO
44.369475,0.97166789,26.22486,20.91536,19.47834,18.9334,18.48769,0.3234106,GALAXY
44.42255,0.958744,25.8272,21.76029,20.00594,19.0087,18.54549,0.5308802,GALAXY
44.448103,0.908157,20.84625,19.88491,19.04641,18.66838,18.42713,0.2220076,GALAXY
44.454363,0.96956451,23.29329,22.18138,22.14225,21.60317,21.62629,1.727683,QSO
44.403902,0.93909362,22.84976,23.00827,21.40612,20.219,19.40518,0.7321731,GALAXY
44.481106,0.89384862,22.08327,21.92752,21.62403,21.40738,21.38257,1.613245,QSO
